,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
0,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,0.97,108.0924855,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
1,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,1.95,93.6416185,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
2,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,3.9,92.48554913,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
3,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,7.8,89.59537572,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
4,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,15.625,85.54913295,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
5,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,31.25,82.65895954,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
6,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,62.5,83.23699422,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
7,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,125,54.33526012,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
8,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,250,45.66473988,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
9,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,500,19.07514451,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
10,Caco-2,MTT,Au,additional,Human,Human,epithelial,colon,Adenocarcinoma,48,1000,17.91907514,36.2,-18.4,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
11,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,0,99.27272727,255,-7,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
12,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,0,98.29370629,340,-35,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
13,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,8,101.6223776,255,-7,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
14,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,8,95.55244755,340,-35,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
15,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,32,20.95104895,255,-7,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
16,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,32,18.7972028,340,-35,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
17,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,128,8.811188811,295,21,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
18,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,0,99.46380697,255,-7,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
19,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,0,102.0911528,340,-35,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
20,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,8,100.4021448,255,-7,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
21,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,8,109.4101877,340,-35,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
22,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,32,43.35120643,255,-7,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
23,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,32,46.54155496,340,-35,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
24,Caco-2,NRU,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,128,23.83378016,295,21,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
25,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,0,99.58333333,223,-20.4,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
26,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,2,101.6666667,223,-20.4,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
27,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,4,101.5277778,223,-20.4,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
28,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,8,103.0555556,223,-20.4,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
29,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,16,102.0833333,223,-20.4,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
30,Caco-2,CCK-8,ZnO,additional,Human,Human,epithelial,colon,Adenocarcinoma,24,32,10.77,223,-20.4,2.272727273,2.545,-0.7618,1.35,8,81.389,1,0,0,-0.1213,4.082482905,1.5,0,0.423376623,2.423376623
31,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.005,98,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
32,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.01,91,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
33,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.05,88,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
34,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.1,84,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
35,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,1,80,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
36,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,5,76,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
37,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,10,70,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
38,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,50,63,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
39,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,100,57,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
40,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,250,50,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
41,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,500,43,19.6,-12,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
42,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.005,96,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
43,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.01,87,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
44,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.05,82,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
45,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.1,78,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
46,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,1,76,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
47,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,5,69,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
48,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,10,61,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
49,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,50,59,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
50,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,100,44,21.8,-24.6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
51,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.005,90,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
52,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.01,83,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
53,CHO-K1,MTT,Ag,additional,hamster,Animal,epithelial,ovary,Normal,24,0.05,80,15,-11.29,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
