index,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,source
,HaCat,MTT,Ag,24,25,70,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,24,50,60,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,24,100,22,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,24,200,15,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,48,25,60,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,48,50,48,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,48,100,20,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,48,200,10,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,72,25,55,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,72,50,40,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,72,100,18,8.14,6,0,1.93,0.7996,1.6,additional
,HaCat,MTT,Ag,72,200,5,8.14,6,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,24,20,100,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,24,40,60,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,24,60,55,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,24,80,20,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,48,20,10,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,48,40,10,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,48,60,10,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,48,80,10,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,72,20,8,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,72,40,8,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,72,60,8,9.24,-7,0,1.93,0.7996,1.6,additional
,HeLa,MTT,Ag,72,80,8,9.24,-7,0,1.93,0.7996,1.6,additional
,CHO-K1,MTT,Ag,24,0.005,90,15,-11.29,0,1.93,0.7996,1.6,additional
,CHO-K1,MTT,Ag,24,0.01,83,15,-11.29,0,1.93,0.7996,1.6,additional
,CHO-K1,MTT,Ag,24,0.05,80,15,-11.29,0,1.93,0.7996,1.6,additional
